省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增本土无症状
湖北,武汉,2022-10-24,50431,0,46561,0,3869,0,15
湖北,武汉,2022-10-23,50431,1,46561,0,3869,0,12
湖北,武汉,2022-10-22,50430,0,46561,0,3869,0,14
湖北,武汉,2022-10-21,50430,0,46561,0,3869,0,14
湖北,武汉,2022-10-20,50430,0,46561,1,3869,0,17
湖北,武汉,2022-10-19,50430,0,46560,0,3869,0,14
湖北,武汉,2022-10-18,50430,0,46560,0,3869,0,16
湖北,武汉,2022-10-17,50430,0,46560,0,3869,0,13
湖北,武汉,2022-10-16,50430,0,46560,0,3869,0,16
湖北,武汉,2022-10-15,50430,0,46560,0,3869,0,25
湖北,武汉,2022-10-14,50430,0,46560,0,3869,0,27
湖北,武汉,2022-10-13,50430,0,46560,0,3869,0,13
湖北,武汉,2022-10-12,50430,0,46560,0,3869,0,5
湖北,武汉,2022-10-11,50430,0,46560,0,3869,0,1
湖北,武汉,2022-10-10,50430,0,46560,0,3869,0,1
湖北,武汉,2022-10-09,50430,0,46560,0,3869,0,1
湖北,武汉,2022-10-08,50430,0,46560,0,3869,0,6
湖北,武汉,2022-10-07,50430,0,46560,0,3869,0,22
湖北,武汉,2022-10-06,50430,0,46560,0,3869,0,24
湖北,武汉,2022-10-05,50430,0,46560,0,3869,0,11
湖北,武汉,2022-10-04,50430,0,46560,0,3869,0,9
湖北,武汉,2022-10-03,50430,0,46560,0,3869,0,2
湖北,武汉,2022-10-02,50430,0,46560,0,3869,0,0
湖北,武汉,2022-10-01,50430,1,46560,0,3869,0,1
湖北,武汉,2022-09-30,50429,0,46560,0,3869,0,0
湖北,武汉,2022-09-29,50429,0,46560,0,3869,0,3
湖北,武汉,2022-09-28,50429,0,46560,0,3869,0,3
湖北,武汉,2022-09-27,50429,0,46560,0,3869,0,9
湖北,武汉,2022-09-26,50429,0,46560,0,3869,0,0
湖北,武汉,2022-09-25,50429,0,46560,1,3869,0,2
湖北,武汉,2022-09-24,50429,0,46559,0,3869,0,0
湖北,武汉,2022-09-23,50429,0,46559,0,3869,0,0
